Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean
1936.29,-0.03,-0.20
1936.38,-0.29,-0.18
1936.46,-0.17,-0.21
1936.54,0.21,-0.08
1936.63,0.01,-0.14
1936.71,-0.01,-0.09
1936.79,0.01,-0.04
1936.88,0.03,-0.04
1936.96,0.09,-0.03
1937.04,-0.12,-0.13
1937.13,0.06,0.03
1937.21,-0.20,-0.18
1937.29,-0.19,-0.17
1937.38,-0.02,-0.08
1937.46,-0.05,-0.05
1937.54,-0.12,-0.05
1937.63,0.05,0.01
1937.71,0.24,0.11
1937.79,0.21,0.08
1937.88,0.29,0.09
1937.96,-0.09,-0.12
1938.04,0.00,0.02
1938.13,0.00,-0.02
1938.21,0.20,0.08
1938.29,0.27,0.04
1938.38,0.08,-0.10
1938.46,-0.12,-0.18
1938.54,0.01,-0.09
1938.63,-0.08,-0.06
1938.71,0.10,0.02
1938.79,0.30,0.11
1938.88,0.12,0.04
1938.96,-0.11,-0.22
1939.04,-0.02,-0.07
1939.13,-0.17,-0.08
1939.21,-0.36,-0.19
1939.29,-0.16,-0.09
1939.38,-0.02,-0.06
1939.46,-0.10,-0.08
1939.54,-0.13,-0.08
1939.63,-0.25,-0.07
1939.71,-0.14,-0.07
1939.79,-0.09,-0.03
1939.88,-0.16,0.06
1939.96,0.34,0.44
1940.04,-0.20,-0.05
1940.13,0.06,0.13
1940.21,0.11,0.15
1940.29,0.02,0.18
1940.38,0.06,0.09
1940.46,0.16,0.08
1940.54,0.21,0.12
1940.63,0.08,0.04
1940.71,0.19,0.13
1940.79,0.05,0.07
1940.88,0.06,0.17
1940.96,0.23,0.27
1941.04,0.03,0.21
1941.13,0.20,0.32
1941.21,-0.12,0.08
1941.29,0.00,0.17
1941.38,0.09,0.14
1941.46,0.12,0.11
1941.54,0.25,0.21
1941.63,0.03,0.14
1941.71,-0.21,0.02
1941.79,0.08,0.33
1941.88,-0.06,0.24
1941.96,0.01,0.20
1942.04,0.19,0.26
1942.13,-0.04,0.01
1942.21,-0.03,0.09
1942.29,-0.03,0.10
1942.38,0.01,0.09
1942.46,0.05,0.04
1942.54,0.03,0.00
1942.63,0.09,-0.04
1942.71,0.06,-0.04
1942.79,-0.01,-0.01
1942.88,0.11,0.08
1942.96,0.04,0.07
1943.04,-0.21,-0.04
1943.13,0.04,0.14
1943.21,-0.15,-0.08
1943.29,-0.01,0.07
1943.38,-0.11,0.04
1943.46,-0.13,-0.06
1943.54,0.07,0.08
1943.63,-0.18,0.00
1943.71,0.04,0.06
1943.79,0.26,0.22
1943.88,0.07,0.20
1943.96,0.19,0.24
1944.04,0.31,0.35
1944.13,0.12,0.26
1944.21,0.08,0.26
1944.29,-0.08,0.19
1944.38,-0.08,0.19
1944.46,-0.08,0.20
1944.54,0.03,0.19
1944.63,0.05,0.17
1944.71,0.21,0.30
1944.79,0.19,0.25
1944.88,-0.01,0.10
1944.96,-0.22,0.02
1945.04,0.00,0.10
1945.13,-0.16,-0.02
1945.21,-0.03,0.06
1945.29,0.11,0.19
1945.38,-0.28,0.05
1945.46,-0.33,-0.01
1945.54,-0.24,0.03
1945.63,0.17,0.27
1945.71,0.04,0.22
1945.79,0.03,0.18
1945.88,-0.08,0.07
1945.96,-0.38,-0.09
1946.04,-0.01,0.15
1946.13,-0.06,0.07
1946.21,-0.18,0.01
1946.29,0.02,0.06
1946.38,-0.02,-0.08
1946.46,-0.20,-0.21
1946.54,0.02,-0.14
1946.63,-0.06,-0.17
1946.71,-0.01,-0.07
1946.79,-0.16,-0.06
1946.88,-0.09,-0.06
1946.96,-0.32,-0.35
1947.04,-0.14,-0.12
1947.13,0.02,-0.08
1947.21,0.17,0.07
1947.29,0.11,0.07
1947.38,-0.02,-0.03
1947.46,0.01,0.02
1947.54,-0.04,-0.07
1947.63,-0.01,-0.09
1947.71,0.01,-0.13
1947.79,0.23,0.05
1947.88,0.22,0.02
1947.96,-0.17,-0.16
1948.04,0.19,0.07
1948.13,-0.17,-0.16
1948.21,-0.29,-0.25
1948.29,-0.13,-0.11
1948.38,0.03,0.01
1948.46,0.05,-0.04
1948.54,-0.16,-0.11
1948.63,-0.19,-0.12
1948.71,0.00,-0.11
1948.79,-0.03,-0.07
1948.88,-0.17,-0.12
1948.96,-0.20,-0.23
1949.04,0.03,0.09
1949.13,-0.36,-0.17
1949.21,-0.07,-0.02
1949.29,-0.25,-0.10
1949.38,-0.14,-0.08
1949.46,-0.17,-0.23
1949.54,-0.10,-0.14
1949.63,-0.12,-0.12
1949.71,-0.06,-0.14
1949.79,0.00,-0.07
1949.88,-0.05,-0.10
1949.96,-0.17,-0.22
1950.04,-0.30,-0.33
1950.13,-0.31,-0.28
1950.21,-0.06,-0.07
1950.29,-0.23,-0.20
1950.38,-0.21,-0.10
1950.46,-0.10,-0.03
1950.54,-0.13,-0.10
1950.63,-0.33,-0.16
1950.71,-0.18,-0.12
1950.79,-0.22,-0.22
1950.88,-0.40,-0.37
1950.96,-0.18,-0.20
1951.04,-0.38,-0.34
1951.13,-0.47,-0.43
1951.21,-0.16,-0.21
1951.29,-0.04,-0.13
1951.38,0.05,0.00
1951.46,-0.05,-0.02
1951.54,-0.06,0.03
1951.63,0.08,0.06
1951.71,0.07,0.09
1951.79,-0.01,0.05
1951.88,-0.03,-0.01
1951.96,0.13,0.14
1952.04,0.07,0.13
1952.13,0.10,0.11
1952.21,-0.20,-0.09
1952.29,-0.09,0.02
1952.38,-0.13,-0.02
1952.46,-0.11,-0.03
1952.54,0.03,0.04
1952.63,0.08,0.04
1952.71,0.12,0.08
1952.79,-0.03,0.00
1952.88,-0.21,-0.14
1952.96,-0.04,-0.01
1953.04,0.10,0.08
1953.13,0.05,0.14
1953.21,0.14,0.11
1953.29,0.10,0.18
1953.38,-0.04,0.09
1953.46,0.01,0.10
1953.54,-0.04,0.00
1953.63,0.11,0.06
1953.71,0.08,0.05
1953.79,0.05,0.06
1953.88,0.01,-0.05
1953.96,0.14,0.03
1954.04,-0.31,-0.27
1954.13,-0.09,-0.12
1954.21,-0.11,-0.15
1954.29,-0.15,-0.16
